Name,Location,City,P.O. Box,Phone,Mobile,Company Page Link,Logo URL
Miyabi Sushi & Bento,"Next to Four Points by Sheraton, Behind UAE Exchange, Sh Zayed Road",Dubai,391073,"04-3868444,800MIYABI",N/A,https://www.yellowpages-uae.com/miyabi-sushi-bento-153749.html,https://media.yellowpages-uae.com/wfile/webplogo/300762.webp
101 Parathas,"Near Grand Hotel, Abu Shagara",Sharjah,N/A,06-5538106,N/A,https://www.yellowpages-uae.com/101-parathas-175272.html,
18 Buffet,Al Garhoud,Dubai,N/A,04-2999115,N/A,https://www.yellowpages-uae.com/18-buffet-147330.html,
18 Degree,"Hyatt Capital Gate, Al Arabi Street",Abu Dhabi,N/A,02-5961440,N/A,https://www.yellowpages-uae.com/18-degree-175665.html,
24h.ae Online Food Delivery Services,Al Barsha,Dubai,357347,04-4572307,N/A,https://www.yellowpages-uae.com/24h-ae-online-food-delivery-services-148551.html,
4 Guys,N/A,Dubai,N/A,04-4357377,N/A,https://www.yellowpages-uae.com/4-guys-147691.html,
55 & 5th Restaurant,Saadiyat Island,Abu Dhabi,N/A,02-4988008,N/A,https://www.yellowpages-uae.com/55-5th-restaurant-175732.html,
77 Veggie Boutique,"Boutique 11, Tiffany Tower, JLT",Dubai,644817,04-4224116,N/A,https://www.yellowpages-uae.com/77-veggie-boutique-152094.html,
800 Pizza,N/A,Dubai,N/A,80074992,N/A,https://www.yellowpages-uae.com/800-pizza-175280.html,
Aangan Restaurant,"Dhow Palace Hotel, Bur Dubai",Dubai,N/A,04-3599992,N/A,https://www.yellowpages-uae.com/aangan-restaurant-175630.html,
Abdul Aziz Restaurant,Sanaiya,Al Ain,16935,03-7211335,N/A,https://www.yellowpages-uae.com/abdul-aziz-restaurant-131916.html,
Abdulla Zaid Restaurant,"Next to Al Shook Recording, Al Sham",Ras Al Khaimah,6744,07-2666693,N/A,https://www.yellowpages-uae.com/abdulla-zaid-restaurant-134635.html,
Abdullas Food Court,"US Accommodation, JAFZA",Jebel Ali,18009,04-8833115,N/A,https://www.yellowpages-uae.com/abdullas-food-court-148309.html,
Abeer Cafeteria,"Al Rafaa Rd, Bur Dubai",Dubai,N/A,04-3557715,N/A,https://www.yellowpages-uae.com/abeer-cafeteria-172952.html,
Abshar Iranian Restaurant,Jumeirah,Dubai,56484,04-3940950,N/A,https://www.yellowpages-uae.com/abshar-iranian-sweets-llc--149341.html,
Abshar Restaurant LLC,"Al Butin Plaza, Al Maktoum St, Deira",Dubai,63788,04-2230555,N/A,https://www.yellowpages-uae.com/abshar-restaurant-llc-122743.html,
Abu Fadi Restaurant,Jamal Abdel Naser St,Sharjah,82122,06-5535702,N/A,https://www.yellowpages-uae.com/abu-fadi-restaurant-151047.html,
Abu Hamdan Catering Services LLC,"1st Floor, M-36, Abu Hamdan Building, Near Car Taxi, Musaffah",Abu Dhabi,37471,02-5575757,N/A,https://www.yellowpages-uae.com/abu-hamdan-catering-services-llc-154130.html,
Abu Khalid Restaurant,"Sona Bazaar, Park Rd",Fujairah,456,09-2224592,N/A,https://www.yellowpages-uae.com/abu-khalid-restaurant-138876.html,
Abu Nasar Restaurant,TCA,Abu Dhabi,N/A,02-6452229,N/A,https://www.yellowpages-uae.com/abu-nasar-restaurant-147960.html,
Abu Shakra Restaurant,Istiqlal St,Abu Dhabi,8090,02-6313400,N/A,https://www.yellowpages-uae.com/abu-shakra-restaurant-128470.html,
Accuro Specialist Support Services,Dubai Investment Park - 2,Dubai,283923,04-8071900,N/A,https://www.yellowpages-uae.com/accuro-specialist-support-services-160593.html,
